School Year,Building Code,DBN,Location Name,Location Code,Address,Borough,Geographical District Code,Register,Building Name,# Schools,Schools in Building,Major N,Oth N,NoCrim N,Prop N,Vio N,ENGroupA,RangeA,AvgOfMajor N,AvgOfOth N,AvgOfNoCrim N,AvgOfProp N,AvgOfVio N
2013-14,K763,15K118,The Maurice Sendak Community School,K118,211 8TH STREET,K,15,82,,1,The Maurice Sendak Community School,0,0,0,0,0,1-250,2C,0.43,1.03,1.23,0.99,0.41
2013-14,K778,14K685,El Puente Academy for Peace and Justice,K685,250 HOOPER STREET,K,14,225,,1,El Puente Academy for Peace and Justice,0,1,0,1,0,1-250,2C,0.43,1.03,1.23,0.99,0.41
2013-14,K781,15K529,West Brooklyn Community High School,K529,1053 41ST STREET,K,15,215,,1,West Brooklyn Community High School,0,1,0,1,0,1-250,2C,0.43,1.03,1.23,0.99,0.41
2013-14,K798,19K065,P.S. 065,K065,696 JAMAICA AVENUE,K,19,644,,1,P.S. 065,0,0,0,0,0,501-750,4C,0.33,1.32,1.76,0.83,0.59
2013-14,K804,15K519,Cobble Hill School of American Studies,K519,347 BALTIC STREET,K,15,571,,1,Cobble Hill School of American Studies,3,3,4,1,5,501-750,4C,0.33,1.32,1.76,0.83,0.59
2013-14,K805,13K350,Urban Assembly High School of Music and Art,K350,49 FLATBUSH AVENUE EXTENSION,K,13,394,49 FLATBUSH AVENUE EXTENSION CONSOLIDATED LOCATION,3,"Urban Assembly High School of Music and Art |  Science Skills Center High School for Science, Tec |  Brooklyn International High School |  49 FLATBUSH AVENUE EXTENSION CONSOLIDATED LOCATION",N/A,N/A,N/A,N/A,N/A,251-500,3C,#N/A,#N/A,#N/A,#N/A,#N/A
2013-14,K805,13K419,"Science Skills Center High School for Science, Tec",K419,49 FLATBUSH AVENUE EXTENSION,K,13,537,49 FLATBUSH AVENUE EXTENSION CONSOLIDATED LOCATION,3,"Urban Assembly High School of Music and Art |  Science Skills Center High School for Science, Tec |  Brooklyn International High School |  49 FLATBUSH AVENUE EXTENSION CONSOLIDATED LOCATION",N/A,N/A,N/A,N/A,N/A,501-750,4C,#N/A,#N/A,#N/A,#N/A,#N/A
2013-14,K805,13K439,Brooklyn International High School,K439,49 FLATBUSH AVENUE EXTENSION,K,13,343,49 FLATBUSH AVENUE EXTENSION CONSOLIDATED LOCATION,3,"Urban Assembly High School of Music and Art |  Science Skills Center High School for Science, Tec |  Brooklyn International High School |  49 FLATBUSH AVENUE EXTENSION CONSOLIDATED LOCATION",N/A,N/A,N/A,N/A,N/A,251-500,3C,#N/A,#N/A,#N/A,#N/A,#N/A
2013-14,K805,,49 FLATBUSH AVENUE EXTENSION CONSOLIDATED LOCATION,,49 FLATBUSH AVENUE EXTENSION,K,13,"1,274",49 FLATBUSH AVENUE EXTENSION CONSOLIDATED LOCATION,3,"Urban Assembly High School of Music and Art |  Science Skills Center High School for Science, Tec |  Brooklyn International High School |  49 FLATBUSH AVENUE EXTENSION CONSOLIDATED LOCATION",3,9,9,5,4,1251-1500,7C,0.86,3.26,5.55,2.17,1.29
2013-14,K806,15K530,Metropolitan Corporate Academy High School,K530,362 SCHERMERHORN STREET,K,15,31,362 SCHERMERHORN STREET CONSOLIDATED LOCATION,2,Metropolitan Corporate Academy High School |  Khalil Gibran International Academy |  362 SCHERMERHORN STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,1-250,2C,#N/A,#N/A,#N/A,#N/A,#N/A
2013-14,K806,15K592,Khalil Gibran International Academy,K592,362 SCHERMERHORN STREET,K,15,97,362 SCHERMERHORN STREET CONSOLIDATED LOCATION,2,Metropolitan Corporate Academy High School |  Khalil Gibran International Academy |  362 SCHERMERHORN STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,1-250,2C,#N/A,#N/A,#N/A,#N/A,#N/A
2013-14,K806,,362 SCHERMERHORN STREET CONSOLIDATED LOCATION,,362 SCHERMERHORN STREET,K,15,128,362 SCHERMERHORN STREET CONSOLIDATED LOCATION,2,Metropolitan Corporate Academy High School |  Khalil Gibran International Academy |  362 SCHERMERHORN STREET CONSOLIDATED LOCATION,2,0,1,2,0,1-250,2C,0.43,1.03,1.23,0.99,0.41
2013-14,K814,19K089,P.S. 089 Cypress Hills,K089,265 WARWICK STREET,K,19,446,,1,P.S. 089 Cypress Hills,0,0,0,0,0,251-500,3C,0.35,1.06,1.09,0.73,0.50
